	userID	Location	Age
101	74709	macomb, michigan, usa	21.0
102	75691	cincinnati, ohio, usa	17.0
103	75819	west falls, new york, usa	
104	76352	olympia, washington, usa	58.0
105	76368	langley, british columbia, canada	
106	76942	sacramento, california, usa	25.0
107	78165	bologna, emilia romagna, italy	
108	78754	dwight, illinois, usa	
109	78834	honolulu, hawaii, usa	28.0
110	78973	amadora, lisboa, portugal	29.0
111	79186	fairbanks, alaska, usa	37.0
112	79740	st. louis, missouri, usa	24.0
113	80810	warrensburg, missouri, usa	33.0
114	81088	romsey, hampshire, united kingdom	18.0
115	81298	savannah, georgia, usa	20.0
116	82114	fair oaks, california, usa	
117	82893	san antonio, texas, usa	40.0
118	83034	fairbanks, alaska, usa	
119	84024	abilene, texas, usa	37.0
120	84611	fremont, california, usa	
121	85534	cleveland, ohio, usa	49.0
122	86303	denver, colorado, usa	31.0
123	86969	forest grove, oregon, usa	59.0
124	87257	coeur d`alene, idaho, usa	
125	87929	portland, maine, usa	25.0
126	88006	fresno, california, usa	27.0
127	90322	lakeland, minnesota, usa	
128	91633	french camp, california, usa	21.0
129	91832	miami, florida, usa	
130	93055	st. charles, missouri, usa	
131	93363	farmington hills, michigan, usa	30.0
132	93643	bergheim, texas, usa	
133	93772	portland, oregon, usa	
134	93800	mount vernon, washington, usa	52.0
135	94074	zevenaar, gelderland, netherlands	23.0
136	94139	san marcos, california, usa	
137	94396	shoreline, washington, usa	62.0
138	97721	castro valley, california, usa	46.0
139	98012	friday harbor, washington, usa	48.0
140	98468	eugene, oregon, usa	33.0
141	98723	cincinnati, ohio, usa	29.0
142	98923	liberty township, ohio, usa	
143	100009	victoria, british columbia, canada	49.0
144	100393	riverside, california, usa	
145	101209	ft huachuca, arizona, usa	44.0
146	102647	modesto, california, usa	14.0
147	102967	olympia, washington, usa	54.0
148	103315	norton, ohio, usa	32.0
149	103416	tucson, arizona, usa	33.0
150	105124	sarasota, ,	
151	105624	royersford, pennsylvania, usa	35.0
152	105937	tampa, florida, usa	27.0
153	105979	oakland, california, usa	26.0
154	106230	dumas, texas, usa	
155	106273	paducah, kentucky, usa	28.0
156	107201	troy, michigan, usa	38.0
157	107244	appleton, wisconsin, usa	50.0
158	107784	tarentum, pennsylvania, usa	
159	108143	cincinnati, ohio, usa	17.0
160	108207	buffalo, new york, usa	
161	108247	winterville, north carolina, usa	
162	110127	cambridge, massachusetts, usa	
163	110440	fairfax, virginia, usa	29.0
164	110558	los angeles, california, usa	
165	110973	wiley ford, west virginia, usa	43.0
166	112001	barren springs, virginia, usa	43.0
167	112093	spencer, indiana, usa	35.0
168	112280	saint  charles, missouri, usa	50.0
169	113328	painted post, new york, usa	
170	114544	antelope, california, usa	35.0
171	115003	asheville, north carolina, usa	43.0
172	115120	sherman oaks, california, usa	29.0
173	116127	vancouver, washington, usa	
174	116428	pickering, ontario, canada	47.0
175	117594	moline, illinois, usa	26.0
176	118659	blacksburg, virginia, usa	37.0
177	119332	berlin, berlin, germany	
178	120396	boyce, virginia, usa	46.0
179	120771	garland, texas, usa	49.0
180	122251	hampden, north dakota, usa	30.0
181	122440	vancouver, british columbia, canada	29.0
182	122658	atlanta, georgia, usa	
183	123137	decatur, georgia, usa	
184	123430	manning, south carolina, usa	
185	123790	mount vernon, new york, usa	25.0
186	123981	phoenix, arizona, usa	46.0
187	124259	boulder, colorado, usa	
188	124363	tallahassee, florida, usa	36.0
189	124487	ramah, new mexico, usa	
190	125039	lafayette, indiana, usa	27.0
191	125519	irvine, california, usa	40.0
192	126492	westmont, illinois, usa	31.0
193	127200	urbana, illinois, usa	
194	128185	glendale, missouri, usa	39.0
195	128208	san antonio, texas, usa	34.0
196	128463	jersey city, new jersey, usa	
197	129084	boise, idaho, usa	39.0
198	130784	ferndale, washington, usa	
199	131046	ellington, connecticut, usa	26.0
200	131681	muskegon, michigan, usa	48.0
201	131703	endicott, new york, usa	
202	131837	west valley city, utah, usa	
203	132144	seattle, washington, usa	
204	133706	palmyra, western australia, australia	30.0
205	133738	indianapolis, indiana, usa	28.0
206	134264	phoenix, arizona, usa	
207	134797	elk grove, california, usa	
208	134863	san jose, california, usa	
209	135149	ft. pierce, florida, usa	
210	135831	potomac falls, virginia, usa	
211	136096	arlington, virginia, usa	47.0
212	136396	warren, ohio, usa	34.0
213	136707	laplace, louisiana, usa	50.0
214	137589	enterprise, oregon, usa	35.0
215	140824	wetzlar, hessen, germany	53.0
216	141444	west springfield, massachusetts,	
217	142093	storm lake, iowa, usa	
218	143134	marion, arkansas, usa	27.0
219	143253	dyersburg, tennessee, usa	27.0
220	143939	ellensburg, washington, usa	
221	144062	stow, massachusetts, usa	16.0
222	144255	riedstadt, hessen, germany	
223	144478	galveston, texas, usa	39.0
224	144531	pleasanton, california, usa	37.0
225	145619	middletown, connecticut, usa	36.0
226	146113	cary, north carolina, usa	
227	146279	camdenton, missouri, usa	42.0
228	146816	minneapolis, minnesota, usa	
229	147965	lake wales, florida, usa	
230	148879	cumming, georgia, usa	
231	149120	hillsdale, michigan, usa	
232	150400	sacramento, california, usa	
233	150896	vancouver, washington, usa	30.0
234	151004	millburn, new jersey, usa	41.0
235	151063	san antonio, texas, usa	70.0
236	152354	boston, massachusetts, usa	
237	152696	studio city, california, usa	
238	153513	little rock, arkansas, usa	31.0
239	153718	round lake, illinois, usa	27.0
240	154730	encinitas, california, usa	42.0
241	155495	hood river, oregon, usa	26.0
242	156300	pinon hills, california, usa	49.0
243	159440	lille, nord, france	27.0
244	159506	portland, oregon, usa	28.0
245	160735	blaine, minnesota, usa	39.0
246	160819	miami, florida, usa	43.0
247	161870	steubenville, ohio, usa	
248	163194	west linn, ,	57.0
249	163693	decatur, alabama, usa	37.0
250	164323	delta, british columbia, canada	31.0
251	165618	pforzheim, baden-wuerttemberg, germany	
252	165842	doylestown, pennsylvania, usa	
253	165884	louisville, kentucky, usa	
254	166391	hanover, pennsylvania, usa	60.0
255	167038	kissimmee, florida, usa	
256	167800	olive branch, mississippi, usa	57.0
257	168132	middletown, maryland, usa	37.0
258	169403	marietta, georgia, usa	43.0
259	170518	gaithersburg, maryland, usa	61.0
260	170580	carlsbad, california, usa	
261	171078	langley, british columbia, canada	43.0
262	172539	lakewood, california, usa	
263	172742	astoria, oregon, usa	44.0
264	173415	chicago, illinois, usa	31.0
265	173684	chula vista, california, usa	15.0
266	174642	zelienople, pennsylvania, usa	
267	175117	royersford, pennsylvania, usa	
268	176477	university heights, ohio, usa	46.0
269	176709	galax, virginia, usa	
270	176790	irvine, california, usa	43.0
271	176894	salt lake city, utah, usa	32.0
272	178130	auburn, washington, usa	45.0
273	179068	omaha, nebraska, usa	30.0
274	181519	oakville, connecticut, usa	
275	182459	fort wayne, indiana, usa	28.0
276	182746	jacksonville, florida, usa	44.0
277	185384	st. charles, missouri, usa	
278	185722	long beach, california, usa	24.0
279	186570	rantoul, illinois, usa	28.0
280	187266	gordon, nebraska, usa	66.0
281	187533	san jose, san jose, costa rica	68.0
282	187944	hopatcong, new jersey, usa	41.0
283	189655	pittsburgh, pennsylvania, usa	
284	190741	corpus christi, texas, usa	52.0
285	192353	las vegas, nevada, usa	26.0
286	192399	grand rapids, michigan, usa	
287	192621	olympia, washington, usa	
288	193529	florissant, missouri, usa	51.0
289	193898	paradise, pennsylvania, usa	
290	195347	riverside, california, usa	
291	195469	congers, new york, usa	39.0
292	195694	tucson, arizona, usa	29.0
293	197364	cumming, georgia, usa	30.0
294	197659	indiana, pennsylvania, usa	49.0
295	198046	milwaukee, wisconsin, usa	51.0
296	198412	waretown, new jersey, usa	17.0
297	198483	silver spring, maryland, usa	
298	198711	little canada, minnesota, usa	62.0
299	199092	rotterdam, zuid-holland, netherlands	50.0
300	199640	bellingham, washington, usa	
301	200234	r.r.#1 battersea, ontario, canada	53.0
302	200402	campbell, california, usa	35.0
303	200674	pittsburg, missouri, usa	58.0
304	201548	rheinfelden, baden-wuerttemberg, germany	29.0
305	202619	encino, california, usa	28.0
306	203649	mount vernon, kentucky, usa	41.0
307	203968	cumberland, maryland, usa	
308	204504	woodside, new york, usa	41.0
309	205963	santa clara, california, usa	56.0
310	206423	columbia, maryland, usa	
311	207259	florence, oregon, usa	38.0
312	207291	brisbane, queensland, australia	
313	207782	midland, texas, usa	28.0
314	207825	fairbanks, alaska, usa	52.0
315	208147	federal way, washington, usa	41.0
316	208607	springfield, nebraska, usa	
317	210276	north fort myers, ,	67.0
318	210717	wantagh, new york, usa	42.0
319	210838	springfield, illinois, usa	66.0
320	211321	cincinnati, ohio, usa	19.0
321	212806	columbia, south carolina, usa	
322	213220	york, pennsylvania, usa	
323	213733	boulder, colorado, usa	
324	213760	omaha, nebraska, usa	32.0
325	214786	boone county, kentucky, usa	
326	215256	sun valley, california, usa	34.0
327	215949	brown city, michigan, usa	
328	216670	pensacola, florida, usa	
329	216683	san jose, california, usa	
330	217375	st. petersburg, florida, usa	35.0
331	217516	loudoun county, virginia, usa	56.0
332	217986	ypsilanti, michigan, usa	35.0
333	218121	brighton, colorado, usa	
334	221445	portland, oregon, usa	
335	222217	hamburg, hamburg, germany	25.0
336	223331	fort lauderdale, florida, usa	
337	224435	warren, michigan, usa	24.0
338	224764	rockaway, new jersey, usa	116.0
339	225717	warsaw, mazowiecka, poland	33.0
340	225810	el cajon, california, usa	56.0
341	225826	dallas, oregon, usa	23.0
342	225989	palmdale, california, usa	27.0
343	226638	reno, nevada, usa	50.0
344	227392	waltham, massachusetts, usa	30.0
345	228187	st. clair, missouri, usa	58.0
346	229011	mclean, virginia, usa	
347	229609	vancouver, washington, usa	40.0
348	230522	colorado springs, colorado, usa	52.0
349	231237	waianae, hawaii, us	
350	231865	portland, oregon, usa	34.0
351	232131	oakland, california, usa	
352	232271	iowa city, iowa, usa	46.0
353	232945	newport, rhode island, usa	28.0
354	233731	kingston, ontario, canada	44.0
355	234623	scarborough, maine, usa	
356	235059	aurora, illinois, usa	24.0
357	235842	griswold, iowa, usa	41.0
358	235935	bridgeton, new jersey, usa	43.0
359	236172	chesapeake, virginia, usa	34.0
360	240024	amarillo, texas, usa	40.0
361	240144	muskego, wisconsin, usa	34.0
362	240567	hawthorne, new jersey, usa	33.0
363	240951	austin, minnesota, usa	41.0
364	241306	colfax, north carolina, usa	32.0
365	241548	saratoga, california, usa	44.0
366	241666	san francisco, california, usa	35.0
367	241980	ashburn, virginia, usa	35.0
368	242843	scottsdale, arizona, usa	43.0
369	242891	rockwall, texas, usa	84.0
370	243930	montreuil, seine saint-denis, france	43.0
371	244349	los banos, california, usa	40.0
372	244627	shelbyville, tennessee, usa	32.0
373	244761	santa rosa, california, usa	
374	245616	sacramento, california, usa	28.0
375	245827	albuquerque, ,	
376	245963	saint louis, missouri, usa	
377	246333	memphis, tennessee, usa	31.0
378	246550	fort irwin, california, usa	38.0
379	246655	mooresville, north carolina, usa	
380	249954	pueblo, colorado, usa	
381	250101	phoenix, arizona, usa	61.0
382	250184	renton, washington, usa	
383	251122	hartley, iowa, usa	
384	251377	sacramento, california, usa	
385	251613	sonoma, california, usa	34.0
386	251851	woodbury, ,	43.0
387	252777	anaheim, california, usa	34.0
388	253106	westchester county, new york, usa	45.0
389	254971	boise, idaho, usa	53.0
390	255719	columbus, ohio, usa	30.0
391	256407	florissant, missouri, usa	58.0
392	256925	louisville, kentucky, usa	32.0
393	258534	mcqueeney, texas, usa	32.0
394	258884	belvidere, illinois, usa	
395	259078	fairbanks, alaska, usa	49.0
396	259223	twin falls, idaho, idaho, usa	82.0
397	259543	south san francisco, california, usa	
398	259778	hillsboro, oregon, usa	
399	259846	rohnert park, calabria, usa	
400	260897	chicago, illinois, usa	25.0
401	261378	omaha, nebraska, usa	
402	261829	fpo, ap, usa	32.0
403	262846	greenville, texas, usa	
404	263163	austin, texas, usa	26.0
405	263644	mendon, massachusetts, usa	
406	263877	victoria, british columbia, canada	44.0
407	265115	vista, california, usa	
408	265276	missoula, montana, usa	39.0
409	265313	morrisville, north carolina, usa	33.0
410	266268	camden, south carolina, usa	
411	267549	olympia, washington, usa	34.0
412	268330	miami, florida, usa	23.0
413	269566	seattle, washington, usa	9.0
414	269614	beaver dam, wisconsin, usa	46.0
415	271284	alexandria, virginia, usa	50.0
416	271558	henderson, nevada, usa	35.0
417	273190	coconut grove, ,	71.0
418	273979	bloomsburg, pennsylvania, usa	20.0
419	274167	whitehorse, yukon territory, canada	52.0
420	274308	delray beach, florida, usa	33.0
421	274823	austin, texas, usa	
422	276641	porto, porto, portugal	25.0
423	277965	chula vista, california, usa	
424	16	albuquerque, new mexico, usa	
425	6007	ajax, ontario, canada	
426	10215	edinburgh, scotland, united kingdom	34.0
427	11120	kerava, uusimaa, finland	58.0
428	11676	n/a, n/a, n/a	
429	12569	selangor, subang jaya, malaysia	22.0
430	13582	lisboa, lisboa, portugal	29.0
431	14768	corvallis, oregon, usa	24.0
432	14801	hamilton, ontario, canada	23.0
433	16795	mechanicsville, maryland, usa	47.0
434	17183	zaragoza, zaragoza, spain	23.0
435	17761	pinckney, michigan, usa	
436	19011	titirangi, auckland, new zealand	
437	20409	livermore, california, usa	51.0
438	22463	toronto, ontario, canada	
439	26544	woodbridge, virginia, usa	37.0
440	26722	wixom, michigan, usa	
441	28222	san diego, california, usa	23.0
442	28731	louisville, kentucky, usa	29.0
443	29067	encino, california, usa	
444	30035	vancouver, british columbia, canada	37.0
445	30461	bend, oregon, usa	
446	30594	redding, , usa	25.0
447	31315	henryville, indiana, usa	34.0
448	35050	west columbia, south carolina, usa	33.0
449	35945	jax, florida, usa	
450	36506	cincinnati, ,	
451	37511	citrus heights, california, usa	25.0
452	40417	sahuarita, arizona,	
453	41084	orlando, florida, usa	36.0
454	42458	north york, ontario, canada	47.0
455	42883	the woodlands, texas, usa	51.0
456	42914	clarksville, indiana, usa	26.0
457	43852	gainesville, florida, usa	27.0
458	48965	tranent, scotland, united kingdom	48.0
459	51165	ottawa, ontario, canada	35.0
460	51438	borden-carleton, prince edward island, canada	
461	52141	salt lake city, utah, usa	32.0
462	52584	livermore, california, usa	45.0
463	53174	orlando, florida, usa	29.0
464	54326	crescent city, florida, usa	62.0
465	54605	penngrove, california, usa	
466	55548	chamblee, georgia, usa	
467	55892	plantersville, texas, usa	45.0
468	57095	cincinnati, ohio, usa	18.0
469	61598	jacksonville, florida, usa	
470	62272	lake mary, florida, usa	30.0
471	62881	milwaukee, wisconsin, usa	39.0
472	63293	leesburg, virginia, usa	37.0
473	65228	uniontown, ohio, usa	58.0
474	67244	waterford, michigan, usa	19.0
475	68212	west columbia, south carolina, usa	27.0
476	69042	drayton valley, alberta, canada	55.0
477	69967	fredericton, new brunswick, canada	41.0
478	70594	prince george, british columbia, canada	53.0
479	70666	warwick, rhode island, usa	18.0
480	76105	fredericton, ,	
481	76352	olympia, washington, usa	58.0
482	78783	chantilly, virginia, usa	49.0
483	81298	savannah, georgia, usa	20.0
484	82407	washington, dc, usa	
485	82893	san antonio, texas, usa	40.0
486	85060	burbank, california, usa	
487	85701	savannah, georgia, usa	37.0
488	86680	conway, arkansas, usa	38.0
489	87141	huntington beach, california, usa	
490	89027	escondido, california, usa	
491	92154	san francisco, california, usa	
492	93047	nashua, new hampshire, usa	52.0
493	98787	melbourne, victoria, australia	26.0
494	99434	edinburgh, scotland, united kingdom	32.0
495	100261	painesville township, ohio, usa	30.0
496	100668	calgary, alberta, canada	61.0
497	102967	olympia, washington, usa	54.0
498	105058	north york, ontario, canada	32.0
499	105476	zaragoza, aragón, spain	22.0
500	105627	london, ontario, canada	23.0
501	107244	appleton, wisconsin, usa	50.0
502	108392	mountain view, california, usa	34.0
503	108474	auckland, , new zealand	
504	109741	braunschweig, niedersachsen, germany	26.0
505	110291	woodland hills, california, usa	
506	110700	cincinnati, ohio, usa	
507	114378	redmond, oregon, usa	30.0
508	117557	arnold, maryland, usa	
509	118542	lincoln, california, usa	
510	120090	cascade, ,	
511	120985	passau, bayern, germany	
512	122096	vancouver, ,	32.0
513	123460	brea, california, usa	31.0
514	123741	jacksonville, florida, usa	
515	123790	mount vernon, new york, usa	25.0
516	124487	ramah, new mexico, usa	
517	124942	olympia, washington, usa	
518	126296	ramsey, huntingdon, cambridgeshire, united kingdom	41.0
519	128208	san antonio, texas, usa	34.0
520	128286	felton, california, usa	
521	135376	las vegas, nevada, usa	
522	136473	minneapolis, minnesota, usa	
523	137137	cincinnati, ,	
524	140705	vista, california, usa	46.0
525	141876	colorado springs, colorado, usa	36.0
526	144531	pleasanton, california, usa	37.0
527	145474	akron, ohio, usa	14.0
528	146279	camdenton, missouri, usa	42.0
529	149810	springfield, illinois, usa	
530	151787	frankfort, illinois, usa	16.0
531	153211	toronto, ontario, canada	28.0
532	158567	medicine hat, alberta, canada	39.0
533	160451	springfield, missouri, usa	59.0
534	161789	brampton, ontario, canada	
535	162590	n/a, british columbia, canada	
536	164323	delta, british columbia, canada	31.0
537	165267	north bergen, new jersey, usa	27.0
538	166596	greenwood, british columbia, canada	57.0
539	167471	milton, ontario, canada	29.0
540	167800	olive branch, mississippi, usa	57.0
541	170154	lisboa, lisboa, portugal	31.0
542	170702	lake park, georgia, usa	56.0
543	170850	bethel, ,	57.0
544	171118	toronto, ontario, canada	47.0
545	172742	astoria, oregon, usa	44.0
546	174179	huntington beach, california, usa	
547	174700	toronto, ontario, canada	47.0
548	180320	windsor locks, connecticut, usa	33.0
549	182442	ithaca, new york, usa	
550	183187	williamsport, pennsylvania, usa	48.0
551	186570	rantoul, illinois, usa	28.0
552	188518	mountain view, california, usa	33.0
553	188583	thunder bay, ontario, canada	22.0
554	189080	hoxie, arkansas, usa	28.0
555	196738	snellville, georgia, usa	39.0
556	198303	cambridge, massachusetts, usa	47.0
557	198711	little canada, minnesota, usa	62.0
558	199309	lisboa, lisboa, portugal	31.0
559	199431	oakwood, georgia, usa	15.0
560	199927	lavon, texas, usa	
561	200674	pittsburg, missouri, usa	58.0
562	201776	saint john, new brunswick, canada	22.0
563	203764	petersburg, virginia, usa	48.0
564	204192	naperville, illinois, usa	29.0
565	204591	toronto, ontario, canada	30.0
566	204864	simi valley, california, usa	47.0
567	207971	greenville, florida, usa	53.0
568	209059	temple hills, maryland, usa	26.0
569	210485	carmichael, california, usa	35.0
570	210792	franconia, virginia, usa	36.0
571	210838	springfield, illinois, usa	66.0
572	212898	la ronge, saskatchewan, canada	
573	213350	rowland heights, california, usa	65.0
574	213410	elm grove, wisconsin, usa	
575	214786	boone county, kentucky, usa	
576	216682	weymouth, massachusetts, usa	
577	217318	sackville, new brunswick, canada	
578	220091	san diego, california, usa	
579	221445	portland, oregon, usa	
580	223036	silver spring, maryland, usa	34.0
581	227287	st paul, minnesota, usa	38.0
582	227705	westport, connecticut, usa	36.0
583	228255	thunder bay, ontario, canada	
584	231130	halifax, ,	
585	231210	roanoke, virginia, usa	44.0
586	231237	waianae, hawaii, us	
587	232708	cincinnati, ohio, usa	17.0
588	233004	bend, oregon, usa	
589	233466	lexington, kentucky, usa	30.0
590	234108	ladera ranch, california, usa	
591	234162	calgary, alberta, canada	
592	234672	northridge, california, usa	53.0
593	234828	fairbanks, alaska, usa	
594	234948	hiram, georgia, usa	
595	236235	naperville, illinois, usa	19.0
596	238065	bourbonnais, illinois, usa	27.0
597	241548	saratoga, california, usa	44.0
598	242106	covington, virginia, usa	28.0
599	242499	st. albert, alberta, canada	
600	243077	ann arbor, michigan, usa	34.0
601	243290	huntington beach, california, usa	
602	245592	dublin, california, usa	
603	246000	saratoga, california, usa	20.0
604	247201	derby, western australia, australia	
605	248547	nottingham, england, united kingdom	50.0
606	248704	crawfordsville, indiana, usa	16.0
607	249628	whitney, texas, usa	51.0
608	251642	farmington hills, michigan, usa	57.0
609	252695	lincoln, nebraska, usa	
610	255189	sulz, baden-wuerttemberg, germany	0.0
611	256544	nanticoke, ontario, canada	62.0
612	259629	carrollton, texas, usa	51.0
613	260897	chicago, illinois, usa	25.0
614	262399	glen allen, virginia, usa	48.0
615	263537	wisconsin rapids, wisconsin, usa	47.0
616	264464	ottawa, ontario, canada	37.0
617	264600	toronto, ontario, canada	
618	266226	new york, new york, usa	
619	267377	st. albert, alberta, canada	50.0
620	268032	sunnyvale, california, usa	34.0
621	269566	seattle, washington, usa	9.0
622	270820	west bend, wisconsin, usa	52.0
623	272975	rahway, new jersey, usa	32.0
624	273086	chicago, illinois, usa	33.0
625	273110	arco, ,	51.0
626	274052	olympia, washington, usa	
627	274061	gahanna/columbus, ohio, usa	26.0
628	274423	creswell, oregon, usa	
629	275195	canton, michigan, usa	30.0
630	277965	chula vista, california, usa	
631	278144	storm lake, iowa, usa	48.0
632	16	albuquerque, new mexico, usa	
633	1376	peoria, illinois, usa	
634	1848	bellingham, washington, usa	22.0
635	2087	austin, texas, usa	
636	3363	knoxville, tennessee, usa	29.0
637	4556	south berwick, maine, usa	
638	5815	rockville, maryland, usa	
639	6251	wahiawa, hawaii, usa	32.0
640	7346	sunnyvale, california, usa	49.0
641	8682	quetzaltenango, western highlands, guatemala	
642	8782	calgary, alberta, canada	239.0
643	9227	glendora, california, usa	24.0
644	10215	edinburgh, scotland, united kingdom	34.0
645	10470	salem, virginia, usa	
646	11676	n/a, n/a, n/a	
647	12565	ellabell, georgia, usa	
648	13600	athens, athens, greece	
649	13726	ft walton beach, florida, usa	44.0
650	13915	arnprior, ontario, canada	
651	16551	aurora, colorado, usa	
652	16666	rogersville, tennessee, usa	
653	16795	mechanicsville, maryland, usa	47.0
654	16799	enterprise, alabama, usa	21.0
655	17172	móstoles, madrid, spain	28.0
656	17353	tempe, arizona, usa	
657	17796	edwards, california, usa	23.0
658	18583	denver, colorado, usa	48.0
659	19085	menomonie, wisconsin, usa	60.0
660	20119	manchester, new hampshire,	51.0
661	20512	raleigh, north carolina, usa	30.0
662	21875	tampa, florida, usa	43.0
663	22045	sacramento, california, usa	
664	22062	houston, texas, usa	52.0
665	23047	los angeles, california, usa	
666	24064	warrington, pennsylvania, usa	48.0
667	24144	elkhart, indiana, usa	
668	24278	london, england, united kingdom	28.0
669	24771	cary, north carolina, usa	42.0
670	25410	essexville, michigan, usa	
671	28222	san diego, california, usa	23.0
672	28523	springfield, missouri, usa	24.0
673	29131	lehigh acres, florida, usa	72.0
674	30131	college station, texas, usa	25.0
675	30594	redding, , usa	25.0
676	30972	columbiana, alabama, usa	47.0
677	30994	mission hills, california, usa	
678	31172	cleveland, ohio, usa	48.0
679	31315	henryville, indiana, usa	34.0
680	31620	mobile, alabama, usa	34.0
681	31846	phoenix, , usa	
682	32003	cochranville, pennsylvania, usa	
683	32148	edmonton, alberta, canada	
684	32188	st. louis, missouri, usa	51.0
685	33832	sterling, virginia, usa	
686	34588	west linn, oregon, usa	
687	35859	duluth, minnesota, usa	
688	36506	cincinnati, ,	
689	36510	white springs, florida, usa	
690	37204	harrisburg, pennsylvania, usa	
691	37239	the colony, texas, usa	
692	37623	spring, texas, usa	32.0
693	38023	hayward, california, usa	30.0
694	39233	singapore, asia, singapore	13.0
695	39646	fairless hills, pennsylvania, usa	35.0
696	40889	brainerd, minnesota, usa	37.0
697	41760	simsbury, connecticut, usa	50.0
698	42083	humble, texas, usa	
699	42162	bucksport, maine, usa	18.0
700	42333	powder springs, georgia, usa	
701	42372	warner robins, georgia, usa	21.0
702	42546	new york, new york, usa	
703	43359	sterling, virginia, usa	33.0
704	43687	sacramento, california, usa	27.0
705	45291	denver, colorado, usa	
706	45954	minneapolis, minnesota, usa	0.0
707	46892	northridge, california, usa	35.0
708	47117	houston, texas, usa	34.0
709	48494	lemon grove, california, usa	51.0
710	49225	medina, ohio, usa	
711	49294	laveno mombello (va), lombardia, italy	42.0
712	50681	asheville, north carolina, usa	50.0
713	51526	long beach, california, usa	34.0
714	52845	boring, oregon, usa	27.0
